id,caseno
541,ARB/05/5
540,ARB/05/6
539,ARB/05/7
538,ARB/05/8
569,ARB(AF)/04/1
560,ARB/04/9
521,ARB/05/12
534,ARB/05/10
526,ARB/05/15
531,ARB/05/12
530,ARB/05/13
528,ARB/05/14
532,ARB(AF)/05/1
522,ARB/05/17
523,ARB/05/16
515,ARB/05/20
504,ARB/06/4
507,ARB/06/2
27,ARB/16/41
535,ARB/05/1
529,ARB/05/7
527,CONC/05/1
503,ARB/06/5
500,ARB/06/7
499,ARB(AF)/06/1
497,ARB/06/8
492,ARB/06/12
490,ARB/06/14
496,ARB/06/9
493,ARB/06/11
487,ARB/06/17
481,ARB/06/20
479,UNCT/07/1
480,ARB/06/21
478,ARB(AF)/07/1
486,ARB(AF)/06/2
482,ARB/06/19
477,ARB/07/1
501,ARB/05/23
494,ARB/06/4
469,ARB/07/7
468,ARB(AF)/07/2
472,ARB/07/5
470,ARB/07/6
467,ARB(AF)/07/3
465,ARB/07/9
464,ARB/07/10
459,ARB/07/14
463,ARB/07/11
460,ARB/07/13
455,ARB/07/16
456,ARB/07/15
453,ARB/07/17
451,ARB/07/19
450,ARB/07/20
449,ARB/07/21
446,CONC/07/1
443,ARB/07/23
471,ARB/06/20
462,ARB/07/5
454,ARB/07/10
441,ARB/07/25
440,ARB/07/26
437,ARB/07/27
436,ARB/07/28
431,ARB/07/31
427,ARB/08/1
421,ARB/08/4
423,ARB(AF)/08/1
424,ARB/08/2
417,ARB/08/7
418,ARB/08/6
419,ARB/08/5
414,ARB/08/10
413,ARB/08/11
408,ARB/08/14
411,ARB/08/12
291,ARB/11/22
287,CONC/11/1
276,ARB/11/29
406,ARB/08/16
405,UNCT/10/2
404,ARB/08/17
398,ARB/09/1
399,ARB/08/20
395,ARB/09/3
396,ARB/09/2
389,ARB/09/7
390,ARB/09/6
383,ARB/09/11
385,ARB/09/9
381,ARB/09/12
380,ARB/09/13
346,ARB/10/11
403,ARB/08/11
373,ARB/09/18
371,ARB/09/19
377,ARB/09/15
369,ARB(AF)/09/1
374,ARB/09/17
367,ARB(AF)/09/2
366,ARB/09/21
364,ARB/09/23
358,UNCT/10/1
359,ARB/10/3
361,ARB/10/1
356,ARB/10/4
348,ARB/10/9
349,ARB/10/8
350,ARB/10/7
375,ARB/09/9
370,ARB/09/13
320,ARB/10/20
342,ARB/10/14
340,ARB/10/15
339,ARB/10/16
337,ARB/10/17
336,ARB/10/18
334,ARB/10/19
332,ARB(AF)/10/1
329,ARB/10/21
330,ARB/10/20
319,ARB/10/25
324,ARB/10/23
314,ARB/11/4
338,ARB/10/9
327,ARB/10/17
307,UNCT/13/1
309,ARB/11/7
306,ARB/11/9
305,ARB/11/10
304,ARB/11/11
302,ARB/11/12
303,ARB(AF)/11/3
298,ARB/11/15
299,ARB/11/14
300,ARB/11/13
296,ARB/11/17
297,ARB/11/16
295,ARB/11/18
294,ARB/11/19
293,ARB/11/20
292,ARB/11/21
290,ARB/11/23
288,ARB/11/24
301,ARB(AF)/11/2
289,ARB/11/14
281,ARB(AF)/11/4
285,ARB/11/25
282,ARB/11/26
280,ARB/11/27
278,ARB/11/28
275,ARB/11/30
272,ARB/11/32
271,ARB/11/33
270,ARB/12/1
268,ARB/12/3
266,ARB/12/5
265,ARB(AF)/12/1
263,ARB/12/6
262,ARB/12/7
261,ARB/12/8
260,ARB/12/9
258,ARB/12/10
286,ARB/11/17
284,ARB/11/19
256,ARB(AF)/12/3
255,ARB/12/11
253,ARB/12/13
254,ARB/12/12
252,ARB(AF)/12/4
250,ARB/12/14 and 12/40
248,CONC(AF)/12/2
246,ARB/12/17
245,ARB/12/18
243,ARB/12/19
244,ARB(AF)/12/5
242,ARB/12/20
239,ARB/12/22
237,ARB/12/23
234,ARB/12/25
236,ARB/12/24
259,ARB/12/2
233,ARB/12/26
231,ARB/12/28
229,ARB/12/29
226,ARB/12/32
227,ARB/12/31
225,ARB/12/33
224,ARB/12/34
223,ARB(AF)/12/7
222,ARB/12/35
217,ARB/12/38
221,ARB/12/36
218,ARB/12/37
219,ARB(AF)/12/8
214,ARB/12/40 and 12/14
216,ARB/12/39
213,ARB/13/1
212,ARB/13/2
210,ARB/13/5
235,ARB/12/18
215,ARB/12/34
208,ARB(AF)/13/1
204,ARB/13/7
207,ARB/13/6
205,ARB/13/8
203,ARB/13/9
202,ARB/13/10
201,ARB/13/11
200,ARB/13/12
198,ARB/13/14
196,ARB/13/16
195,ARB/13/17
194,ARB/13/18
192,UNCT/15/2
193,ARB/13/19
191,ARB/13/20
188,ARB/13/22
187,UNCT/14/2
189,ARB/13/21
186,ARB/13/23
185,ARB/13/24
190,ARB/13/13
184,ARB/13/25
182,ARB/13/27
180,UNCT/13/2
178,ARB/13/29
177,ARB/13/30
174,ARB/13/33
176,ARB/13/31
175,ARB/13/32
173,ARB/13/34
172,ARB/13/35
171,ARB/13/36
170,ARB/13/37
169,ARB/13/38
167,ARB/14/1
166,ARB/14/2
168,UNCT/15/3
163,ARB/14/4
164,ARB/14/3
162,ARB/14/5
165,ARB/13/33
161,ARB/14/6
157,ARB(AF)/14/1
158,ARB/14/8
153,ARB/14/12
154,ARB/14/11
155,ARB/14/10
151,ARB(AF)/14/2
149,ARB/14/15
148,ARB/14/16
147,ARB/14/17
146,ARB(AF)/14/3
144,ARB/14/19
145,ARB/14/18
143,ARB/14/20
142,ARB/14/21
141,ARB/14/22
140,ARB/14/23
139,ARB/14/24
138,ARB/14/25
159,UNCT/15/3
133,ARB/14/30
132,ARB/14/31
134,ARB/14/29
131,ARB/14/32
130,ARB/14/33
128,ARB/14/35
129,ARB/14/34
127,ARB/15/1
123,ARB/15/4
126,ARB/15/2
124,UNCT/15/1
125,ARB/15/3
122,ARB/15/5
120,ARB/15/7
119,ARB/15/8
121,ARB/15/6
118,ARB/15/9
115,ARB/15/12
116,ARB/15/11
114,ARB/15/13
117,ARB/15/10
112,ARB/15/15
111,ARB/15/16
110,ARB/15/17
109,ARB/15/18
108,ARB/15/19
107,ARB/15/20
102,ARB/15/25
105,ARB/15/22
103,ARB/15/24
104,ARB/15/23
100,ARB/15/27
98,ARB/15/29
101,ARB/15/26
99,ARB/15/28
97,ARB/15/30
94,ARB/15/32
96,ARB(AF)/15/1
95,ARB/15/31
92,ARB/15/34
91,ARB/15/35
93,ARB/15/33
89,ARB/15/37
87,ARB/15/39
86,ARB/15/40
88,ARB/15/38
84,ARB/15/42
83,ARB/15/43
82,ARB/15/44
85,ARB/15/41
81,ARB/15/45
78,ARB/15/48
79,ARB/15/47
80,ARB/15/46
74,ARB/16/1
75,ARB(AF)/15/2
76,ARB/15/50
77,ARB/15/49
73,ARB/16/2
71,ARB/16/4
70,ARB/16/5
72,ARB/16/3
66,ARB/16/9
65,ARB/16/10
35,ARB/16/33
34,ARB/16/34
33,ARB/16/35
32,ARB/16/36
30,ARB/16/38
69,ARB/16/6
68,ARB/16/7
67,ARB/16/8
63,ARB/16/12
62,ARB/16/13
64,ARB/16/11
58,CONC/16/1
60,ARB/16/15
59,ARB(AF)/16/1
61,ARB/16/14
57,ARB(AF)/16/2
54,ARB/16/18
56,ARB/16/16
55,ARB/16/17
53,ARB/16/19
52,ARB/16/20
28,ARB/16/40
24,ARB/17/1
23,ARB/17/2
25,ARB(AF)/17/1
26,ARB/16/42
20,ARB/17/5
19,ARB/17/6
22,ARB/17/3
21,ARB/17/4
18,ARB/17/7
17,ARB/17/8
16,ARB/17/9
15,ARB/17/10
13,ARB/17/11
14,ADHOC/17/1
12,ARB/17/12
11,ARB/17/13
10,ARB/17/14
9,ARB/17/15
8,ARB/17/16
7,ARB/17/17
6,ARB/17/18
1,ARB/17/23
36,ARB(AF)/16/5
40,ARB(AF)/16/4
31,ARB/16/37
801,ARB/74/2
803,ARB/72/1
548,ARB/04/20
802,ARB/74/1
799,ARB/74/4
798,ARB/76/1
797,ARB/77/1
800,ARB/74/3
796,ARB/77/2
795,ARB/78/1
783,ARB/82/1
784,CONC/82/1
782,ARB/83/1
780,ARB/83/2
779,CONC/83/1
778,ARB/84/1
777,ARB/84/2
4,ARB/17/20
3,ARB/17/21
2,ARB/17/22
771,ARB/86/1
770,ARB/87/1
766,ARB/89/1
764,ARB/92/2
753,ARB/96/2
743,ARB/97/3
735,ARB(AF)/98/1
736,ARB/97/8
734,ARB/98/1
737,ARB/97/7
723,ARB/98/4
719,ARB(AF)/98/2
721,ARB/98/6
720,ARB/98/7
722,ARB/98/5
717,ARB(AF)/98/3
715,ARB/98/8
714,ARB/99/1
702,ARB(AF)/99/2
703,ARB/99/5
696,ARB/00/2
697,ARB/00/1
698,ARB/99/8
690,ARB/00/6
676,ARB/01/4
674,ARB/01/6
669,ARB/01/9
670,ARB/01/8
663,ARB/01/12
656,ARB/02/2
661,ARB/01/14
654,ARB/02/4
649,ARB/02/7
641,ARB/02/13
633,ARB/02/17
637,ARB/02/15
630,ARB/03/2
626,ARB/03/4
625,ARB/03/5
621,ARB/03/8
614,ARB/03/11
617,ARB/03/9
603,ARB/03/16
609,ARB/03/15
600,ARB/03/21
597,ARB/03/23
595,ARB/03/24
586,ARB/03/30
588,ARB/03/28
572,ARB/04/6
579,ARB(AF)/04/1
571,ARB/04/8
570,ARB/04/9
567,ARB/04/10
564,ARB/04/13
559,ARB/04/16
550,ARB/04/19
542,ARB/05/4
544,ARB/05/2
543,ARB/05/3
536,ARB/05/9
533,ARB/05/11
525,ARB(AF)/05/2
513,ARB/05/22
514,ARB/05/21
517,ARB/05/19
519,ARB/05/18
511,ARB/05/23
509,ARB/06/1
510,ARB/05/24
506,ARB/06/3
502,ARB/06/6
491,ARB/06/13
495,ARB/06/10
488,ARB/06/16
489,ARB/06/15
484,ARB/06/18
475,ARB/07/2
473,ARB/07/4
474,ARB/07/3
466,ARB/07/8
461,ARB/07/12
452,ARB/07/18
447,ARB/07/22
442,ARB/07/24
433,ARB/07/30
429,ARB/07/32
428,ARB(AF)/07/4
434,ARB/07/29
422,ARB/08/3
416,ARB/08/8
415,ARB/08/9
409,ARB/08/13
407,ARB/08/15
400,ARB/08/19
402,ARB/08/18
393,ARB/09/4
391,ARB/09/5
384,ARB/09/10
387,ARB/09/8
379,ARB/09/14
376,ARB/09/16
368,ARB/09/20
360,ARB/10/2
365,ARB/09/22
353,ARB/10/5
352,ARB/10/6
347,ARB/10/10
344,ARB/10/12
343,ARB/10/13
328,ARB/10/22
321,ARB/10/24
316,ARB/11/2
317,ARB/11/1
315,ARB/11/3
313,ARB(AF)/11/1
310,ARB/11/6
312,ARB/11/5
311,ARB(AF)/11/2
308,ARB/11/8
273,ARB/11/31
269,ARB/12/2
267,ARB/12/4
264,ARB(AF)/12/2
257,CONC(AF)/12/1
249,ARB/12/15
247,ARB/12/16
241,ARB/12/21
232,ARB/12/27
230,ARB(AF)/12/6
228,ARB/12/30
211,ARB/13/3
209,ARB/13/4
199,ARB/13/13
197,ARB/13/15
183,ARB/13/26
181,ARB/13/28
179,ARB(AF)/13/2
160,ARB/14/7
156,ARB/14/9
152,ARB/14/13
150,ARB/14/14
136,ARB/14/27
137,ARB/14/26
113,ARB/15/14
106,ARB/15/21
90,ARB/15/36
29,ARB/16/39
5,ARB/17/19
792,ARB/74/1
791,ARB/74/2
790,ARB/74/3
774,CONC/82/1
746,ARB/95/3
744,ARB/96/1
732,ARB(AF)/97/2
730,ARB/97/5
731,ARB/97/4
733,ARB/97/3
729,ARB/97/6
725,ARB(AF)/98/1
724,ARB/98/1
716,ARB/98/3
712,ARB/98/5
710,ARB/98/7
713,ARB/98/4
691,ARB/99/6
680,ARB/00/6
679,ARB/00/7
678,ARB/00/8
673,ARB/01/1
659,ARB/01/9
651,ARB/01/14
650,ARB(AF)/02/1
647,ARB/02/1
636,ARB/02/8
624,ARB/02/16
627,ARB/02/15
620,ARB/03/2
619,ARB/03/3
615,ARB/03/5
607,ARB/03/9
664,ARB/01/6
592,ARB/03/18
594,ARB/03/19
589,ARB/03/22
580,ARB/03/27
577,ARB/03/29
554,ARB/04/13
553,ARB(AF)/04/2
552,ARB/04/14
524,ARB/05/10
520,ARB/05/13
518,ARB/05/14
516,ARB/05/15
512,ARB/05/17
505,ARB/05/20
485,ARB/06/10
483,ARB/06/11
476,ARB(AF)/06/2
458,ARB(AF)/07/2
457,ARB(AF)/07/3
445,ARB/07/16
439,ARB/07/21
432,ARB/07/24
430,ARB/07/26
426,ARB/07/28
412,ARB/08/3
401,ARB/08/12
394,ARB/08/17
397,ARB/08/15
392,ARB/08/18
388,ARB/09/1
386,ARB/09/2
363,ARB/09/18
357,ARB(AF)/09/2
355,ARB/09/22
354,ARB/09/23
351,ARB/10/1
333,ARB/10/13
326,ARB/10/18
322,ARB(AF)/10/1
318,ARB/10/22
283,ARB/11/20
277,CONC/11/1
251,ARB/12/8
240,ARB/12/14 and 12/40
238,CONC(AF)/12/2
220,ARB/12/29
