id,document_id,symbol,title,title_en,title_fr,title_sp,date,derestricted_date,pages_en,pages_fr,pages_sp,status,collection,access_level,contents,dispute.code,doctype.name,document_reporttype.reporttype.name,document_product.product.name,document_url.url
12004,96-3119,WT/DS7/R,,European Communities - Trade Description of Scallops (Request by Canada) - Report of the Panel,Communautés européennes - Désignation commerciale des pectinides (demande du Canada) - Rapport du Groupe spécial,Comunidades Europeas - Denominación comercial de los moluscos del género pectinidae (solicitud del Canadá) - Informe del Grupo Especial,1996-08-05 00:00:00.000000,,3,3,3,Complete,WT,Public,"Short title: EC - Scallops (Canada).
Mutually agreed solution.",DS7,Panel report,Normal Report,scallops,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/12004/Q/WT/DS/7R.pdf
49246,97-3368,WT/DS26/R/USA,,EC Measures Concerning Meat and Meat Products (Hormones) - Complaint by the United States - Report of the Panel,Communautés européennes - Mesures communautaires concernant les viandes et les produits carnés (hormones) - Plainte déposée par les États-Unis - Rapport du Groupe spécial,Comunidades Europeas - Medidas que afectan a la carne y los productos cárnicos (hormonas) - Reclamación de los Estados Unidos - Informe del Grupo Especial,1997-08-18 00:00:00.000000,,365,414,412,Complete,WT,Public,"Short title: EC - Hormones (US). 
Introduction. Factual aspects. Claims of the parties. Arguments of the parties. Third parties submission: Australia, Canada, Norway and New Zealand. Panel's consultation with scientific experts. Interim review. Findings: Claims of the parties. Organizational issues. General interpretative issues. The SPS Agreement. Articles I and III of GATT. Concluding remarks. Conclusions. Annex: Transcript of the Joint Meeting with Experts, held on 17 and 18 February 1997.",DS26,Panel report,Normal Report,veterinary products,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/49246/Q/WT/DS/26RUSA.PDF
49246,97-3368,WT/DS26/R/USA,,EC Measures Concerning Meat and Meat Products (Hormones) - Complaint by the United States - Report of the Panel,Communautés européennes - Mesures communautaires concernant les viandes et les produits carnés (hormones) - Plainte déposée par les États-Unis - Rapport du Groupe spécial,Comunidades Europeas - Medidas que afectan a la carne y los productos cárnicos (hormonas) - Reclamación de los Estados Unidos - Informe del Grupo Especial,1997-08-18 00:00:00.000000,,365,414,412,Complete,WT,Public,"Short title: EC - Hormones (US). 
Introduction. Factual aspects. Claims of the parties. Arguments of the parties. Third parties submission: Australia, Canada, Norway and New Zealand. Panel's consultation with scientific experts. Interim review. Findings: Claims of the parties. Organizational issues. General interpretative issues. The SPS Agreement. Articles I and III of GATT. Concluding remarks. Conclusions. Annex: Transcript of the Joint Meeting with Experts, held on 17 and 18 February 1997.",DS26,Panel report,Normal Report,medicinal products,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/49246/Q/WT/DS/26RUSA.PDF
49246,97-3368,WT/DS26/R/USA,,EC Measures Concerning Meat and Meat Products (Hormones) - Complaint by the United States - Report of the Panel,Communautés européennes - Mesures communautaires concernant les viandes et les produits carnés (hormones) - Plainte déposée par les États-Unis - Rapport du Groupe spécial,Comunidades Europeas - Medidas que afectan a la carne y los productos cárnicos (hormonas) - Reclamación de los Estados Unidos - Informe del Grupo Especial,1997-08-18 00:00:00.000000,,365,414,412,Complete,WT,Public,"Short title: EC - Hormones (US). 
Introduction. Factual aspects. Claims of the parties. Arguments of the parties. Third parties submission: Australia, Canada, Norway and New Zealand. Panel's consultation with scientific experts. Interim review. Findings: Claims of the parties. Organizational issues. General interpretative issues. The SPS Agreement. Articles I and III of GATT. Concluding remarks. Conclusions. Annex: Transcript of the Joint Meeting with Experts, held on 17 and 18 February 1997.",DS26,Panel report,Normal Report,meat,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/49246/Q/WT/DS/26RUSA.PDF
49246,97-3368,WT/DS26/R/USA,,EC Measures Concerning Meat and Meat Products (Hormones) - Complaint by the United States - Report of the Panel,Communautés européennes - Mesures communautaires concernant les viandes et les produits carnés (hormones) - Plainte déposée par les États-Unis - Rapport du Groupe spécial,Comunidades Europeas - Medidas que afectan a la carne y los productos cárnicos (hormonas) - Reclamación de los Estados Unidos - Informe del Grupo Especial,1997-08-18 00:00:00.000000,,365,414,412,Complete,WT,Public,"Short title: EC - Hormones (US). 
Introduction. Factual aspects. Claims of the parties. Arguments of the parties. Third parties submission: Australia, Canada, Norway and New Zealand. Panel's consultation with scientific experts. Interim review. Findings: Claims of the parties. Organizational issues. General interpretative issues. The SPS Agreement. Articles I and III of GATT. Concluding remarks. Conclusions. Annex: Transcript of the Joint Meeting with Experts, held on 17 and 18 February 1997.",DS26,Panel report,Normal Report,hormones,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/49246/Q/WT/DS/26RUSA.PDF
66735,08-5797,WT/DS27/AB/RW/USA ; WT/DS27/AB/RW2/ECU,,"European Communities - Regime for the Importation, Sale and Distribution of Bananas - Second Recourse to Article 21.5 of the DSU by Ecuador - AB-2008-8 - European Communities - Regime for the Importation, Sale and Distribution of Bananas - Recourse to Article 21.5 of the DSU by the United States - AB-2008-9 - Reports of the Appellate Body","Communautés européennes - Régime applicable à l'importation,à la vente et à la distribution des bananes - Deuxième recours de l'Équateur à l'article 21:5 du Mémorandum d'accord sur le règlement des différends - AB-2008-8 - Communautés européennes - Régime applicable à l'importation, à la vente et à la distribution des bananes - Recours des États-Unis à l'article 21:5 du Mémorandum d'accord sur le règlement des différends - AB-2008-9 - Rapports de l'Organe d'appel","Comunidades Europeas - Régimen para la importación, venta y distribución de bananos - Segundo recurso del Ecuador al párrafo 5 del artículo 21 del ESD - AB-2008-8 - Comunidades Europeas - Régimen para la importación, venta y distribución de bananos - AB-2008-9 - Informes del Órgano de Apelación",2008-11-26 00:00:00.000000,,197,226,230,,WT,Public,Short title: EC - Bananas III (Ecuador) ; EC - Bananas III (Guatemala and Honduras) ; EC - Bananas III (Mexico) ; EC - Bananas III (US). I. Introduction -- II. Arguments of the Participants and the Third Participants -- III. Issues Raised in the Appeal of the Ecuador Panel Report -- IV. Issues Raised in the Appeal of the US Panel Report -- V. Article 9.3 of the DSU - Harmonization of Timetables (Ecuador and United States) -- VI. Legal Effect of the understandings on Bananas (Ecuador and United States) -- VII. Scope of Article 21.5 Proceedings - Measure Taken to Comply (United States) -- VIII. Repeal of the Challenged Measure (United States) -- IX. the European Communities' Notice of Appeal (United States) -- X. Article XIII of the GATT 1994 (Ecuador and United States) -- XI. Article II of the GATT 1994 (Ecuador) -- XII. Nullification or Impairment (United States) -- -- ,DS27,Appellate Body report,Second Compliance Phase,bananas,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/66735/Q/WT/DS/27ABRWUSA.pdf
33861,98-0099,WT/DS26/AB/R ; WT/DS48/AB/R,,European Communities - EC Measures Concerning Meat and Meat Products (Hormones) - AB-1997-4 - Report of the Appellate Body,Communautés européennes - Mesures communautaires concernant les viandes et les produits carnés (hormones) - Ab-1997-4 - Rapport de l'Organe d'appel,Comunidades Europeas - Medidas que afectan a la carne y los productos cárnicos (hormonas) - Ab-1997-4 - Informe del Órgano de Apelación,1998-01-16 00:00:00.000000,,109,123,123,Complete,WT,Public,"Short title: EC - Hormones (US) ; EC - Hormones (Canada). Introduction: Statement of the appeal. Arguments of the participants and third participants: Claims of error by the European Communities - Appellant. Arguments by the United States - Appellee. Arguments by Canada - Appellee. Claims of error by the United States - Appellant. Claims of error by Canada - Appellant. Arguments by the European Communities - Appellee. Arguments by the third participants: Australia, New Zealand and Norway. Issues raised in this appeal. Allocating the burden of proof in proceedings under the SPS Agreement. The standard of review applicable in proceedings under the SPS Agreement. The relevance of the precautionary principle in the interpretation of the SPS Agreement. Application of the SPS Agreement to measures enacted before 1 January 1995. The requirement of objective assessment of the facts by a panel under Article 11 of the DSU. Certain procedures adopted by the panel. The interpretation of Articles 3.1 and 3.3 of the SPS Agreement. The reading of Articles 5.1 and 5.2 of the SPS Agreement: Basing SPS measures on a risk assessment: The interpretation of ""risk assessment"". The interpretation of ""based on"". The reading of Article 5.5 of the SPS Agreement: Consistency of levels of protection and resulting discrimination or disguised restriction on international trade. Appeals by the United States and Canada: Article 2.2 and Article 5.6 of the SPS Agreement. Findings and conclusions.",DS26,Appellate Body report,Normal Report,meat,https://docs.wto.org/dol2fe/Pages/FE_Search/ExportFile.aspx?Id=33861&filename=q/WT/DS/26ABR-00.pdf
33861,98-0099,WT/DS26/AB/R ; WT/DS48/AB/R,,European Communities - EC Measures Concerning Meat and Meat Products (Hormones) - AB-1997-4 - Report of the Appellate Body,Communautés européennes - Mesures communautaires concernant les viandes et les produits carnés (hormones) - Ab-1997-4 - Rapport de l'Organe d'appel,Comunidades Europeas - Medidas que afectan a la carne y los productos cárnicos (hormonas) - Ab-1997-4 - Informe del Órgano de Apelación,1998-01-16 00:00:00.000000,,109,123,123,Complete,WT,Public,"Short title: EC - Hormones (US) ; EC - Hormones (Canada). Introduction: Statement of the appeal. Arguments of the participants and third participants: Claims of error by the European Communities - Appellant. Arguments by the United States - Appellee. Arguments by Canada - Appellee. Claims of error by the United States - Appellant. Claims of error by Canada - Appellant. Arguments by the European Communities - Appellee. Arguments by the third participants: Australia, New Zealand and Norway. Issues raised in this appeal. Allocating the burden of proof in proceedings under the SPS Agreement. The standard of review applicable in proceedings under the SPS Agreement. The relevance of the precautionary principle in the interpretation of the SPS Agreement. Application of the SPS Agreement to measures enacted before 1 January 1995. The requirement of objective assessment of the facts by a panel under Article 11 of the DSU. Certain procedures adopted by the panel. The interpretation of Articles 3.1 and 3.3 of the SPS Agreement. The reading of Articles 5.1 and 5.2 of the SPS Agreement: Basing SPS measures on a risk assessment: The interpretation of ""risk assessment"". The interpretation of ""based on"". The reading of Article 5.5 of the SPS Agreement: Consistency of levels of protection and resulting discrimination or disguised restriction on international trade. Appeals by the United States and Canada: Article 2.2 and Article 5.6 of the SPS Agreement. Findings and conclusions.",DS26,Appellate Body report,Normal Report,hormones,https://docs.wto.org/dol2fe/Pages/FE_Search/ExportFile.aspx?Id=33861&filename=q/WT/DS/26ABR-00.pdf
33861,98-0099,WT/DS26/AB/R ; WT/DS48/AB/R,,European Communities - EC Measures Concerning Meat and Meat Products (Hormones) - AB-1997-4 - Report of the Appellate Body,Communautés européennes - Mesures communautaires concernant les viandes et les produits carnés (hormones) - Ab-1997-4 - Rapport de l'Organe d'appel,Comunidades Europeas - Medidas que afectan a la carne y los productos cárnicos (hormonas) - Ab-1997-4 - Informe del Órgano de Apelación,1998-01-16 00:00:00.000000,,109,123,123,Complete,WT,Public,"Short title: EC - Hormones (US) ; EC - Hormones (Canada). Introduction: Statement of the appeal. Arguments of the participants and third participants: Claims of error by the European Communities - Appellant. Arguments by the United States - Appellee. Arguments by Canada - Appellee. Claims of error by the United States - Appellant. Claims of error by Canada - Appellant. Arguments by the European Communities - Appellee. Arguments by the third participants: Australia, New Zealand and Norway. Issues raised in this appeal. Allocating the burden of proof in proceedings under the SPS Agreement. The standard of review applicable in proceedings under the SPS Agreement. The relevance of the precautionary principle in the interpretation of the SPS Agreement. Application of the SPS Agreement to measures enacted before 1 January 1995. The requirement of objective assessment of the facts by a panel under Article 11 of the DSU. Certain procedures adopted by the panel. The interpretation of Articles 3.1 and 3.3 of the SPS Agreement. The reading of Articles 5.1 and 5.2 of the SPS Agreement: Basing SPS measures on a risk assessment: The interpretation of ""risk assessment"". The interpretation of ""based on"". The reading of Article 5.5 of the SPS Agreement: Consistency of levels of protection and resulting discrimination or disguised restriction on international trade. Appeals by the United States and Canada: Article 2.2 and Article 5.6 of the SPS Agreement. Findings and conclusions.",DS26,Appellate Body report,Normal Report,meat,https://docs.wto.org/dol2fe/Pages/FE_Search/ExportFile.aspx?Id=33861&filename=q/WT/DS/26ABR-01.pdf
33861,98-0099,WT/DS26/AB/R ; WT/DS48/AB/R,,European Communities - EC Measures Concerning Meat and Meat Products (Hormones) - AB-1997-4 - Report of the Appellate Body,Communautés européennes - Mesures communautaires concernant les viandes et les produits carnés (hormones) - Ab-1997-4 - Rapport de l'Organe d'appel,Comunidades Europeas - Medidas que afectan a la carne y los productos cárnicos (hormonas) - Ab-1997-4 - Informe del Órgano de Apelación,1998-01-16 00:00:00.000000,,109,123,123,Complete,WT,Public,"Short title: EC - Hormones (US) ; EC - Hormones (Canada). Introduction: Statement of the appeal. Arguments of the participants and third participants: Claims of error by the European Communities - Appellant. Arguments by the United States - Appellee. Arguments by Canada - Appellee. Claims of error by the United States - Appellant. Claims of error by Canada - Appellant. Arguments by the European Communities - Appellee. Arguments by the third participants: Australia, New Zealand and Norway. Issues raised in this appeal. Allocating the burden of proof in proceedings under the SPS Agreement. The standard of review applicable in proceedings under the SPS Agreement. The relevance of the precautionary principle in the interpretation of the SPS Agreement. Application of the SPS Agreement to measures enacted before 1 January 1995. The requirement of objective assessment of the facts by a panel under Article 11 of the DSU. Certain procedures adopted by the panel. The interpretation of Articles 3.1 and 3.3 of the SPS Agreement. The reading of Articles 5.1 and 5.2 of the SPS Agreement: Basing SPS measures on a risk assessment: The interpretation of ""risk assessment"". The interpretation of ""based on"". The reading of Article 5.5 of the SPS Agreement: Consistency of levels of protection and resulting discrimination or disguised restriction on international trade. Appeals by the United States and Canada: Article 2.2 and Article 5.6 of the SPS Agreement. Findings and conclusions.",DS26,Appellate Body report,Normal Report,hormones,https://docs.wto.org/dol2fe/Pages/FE_Search/ExportFile.aspx?Id=33861&filename=q/WT/DS/26ABR-01.pdf
29437,98-2258,WT/DS18/R,,Australia - Measures Affecting Importation of Salmon - Report of the Panel,Australie - Mesures visant les importations de saumons - Rapport du Groupe spécial,Australia - Medidas que afectan a la importación de salmón - Informe del Grupo Especial,1998-06-12 00:00:00.000000,,267,316,303,Complete,WT,Public,"Short title: Australia - Salmon. 
Introduction. Factual aspects. Claims of the parties. Arguments of the parties. Summary of third party submissions: European Communities, India, Norway and the United States. Panel's consultation with scientific experts. Interim review. Findings: Claims of the parties. Organizational issues. General interpretative issues. The SPS Agreement. Article XI of GATT 1994. Conclusions. Annex 1: The four comparisons under Article 5.5. Annex 2: Transcript of the Joint Meeting with Experts. Attachment to Annex 2.",DS18,Panel report,Normal Report,salmon,https://docs.wto.org/dol2fe/Pages/FE_Search/ExportFile.aspx?Id=29437&filename=q/WT/DS/18R-01.pdf
29437,98-2258,WT/DS18/R,,Australia - Measures Affecting Importation of Salmon - Report of the Panel,Australie - Mesures visant les importations de saumons - Rapport du Groupe spécial,Australia - Medidas que afectan a la importación de salmón - Informe del Grupo Especial,1998-06-12 00:00:00.000000,,267,316,303,Complete,WT,Public,"Short title: Australia - Salmon. 
Introduction. Factual aspects. Claims of the parties. Arguments of the parties. Summary of third party submissions: European Communities, India, Norway and the United States. Panel's consultation with scientific experts. Interim review. Findings: Claims of the parties. Organizational issues. General interpretative issues. The SPS Agreement. Article XI of GATT 1994. Conclusions. Annex 1: The four comparisons under Article 5.5. Annex 2: Transcript of the Joint Meeting with Experts. Attachment to Annex 2.",DS18,Panel report,Normal Report,salmon,https://docs.wto.org/dol2fe/Pages/FE_Search/ExportFile.aspx?Id=29437&filename=q/WT/DS/18R-02.pdf
6220,98-4035,WT/DS18/AB/R,,Australia - Measures Affecting Importation of Salmon - AB-1998-5 - Report of the Appellate Body,Australie - Mesures visant les importations de saumons - AB-1998-5 - Rapport de l'Organe d'appel,Australia - Medidas que afectan a la importación de salmón - AB-1998-5 - Informe del Órgano de Apelación,1998-10-20 00:00:00.000000,,87,98,100,Complete,WT,Public,Short title: Australia - Salmon. Introduction. Arguments of the participants and third participants: Australia - Appellant. Canada - Appellee. Canada - Appellant. Australia - Appellee. Arguments by the third participants: European Communities. India. Norway. United States. Issues raised in this appeal. Terms of reference: The measure and product at issue. Article 6 of the SPS Agreement. The SPS Agreement: Preliminary observations. Article 5.1 of the SPS Agreement. Article 5.5 of the SPS Agreement. Article 5.6 of the SPS Agreement. Article 5.5 and 5.6 of the SPS Agreement with respect to other Canadian salmon. Article 2.3 of the SPS Agreement. Procedural issues: Burden of proof. Objective assessment of the matter. Admission and consideration of certain evidence. Right of response. Findings and conclusions.,DS18,Appellate Body report,Normal Report,salmon,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/6220/Q/WT/DS/18ABR.pdf
84933,08-2182,WT/DS27/RW/USA,,"European Communities - Regime for the Importation, Sale and Distribution of Bananas - Recourse to Article 21.5 of the DSU by the United States - Report of the Panel","Communautés européennes - Régime applicable à l'importation, à la vente et à la distribution des bananes - Recours des États-Unis à l'article 21:5 du Mémorandum d'accord sur le règlement des différends - Rapport du Groupe spécial","Comunidades Europeas - Régimen para la importación, venta y distribución de bananos - Recurso de los Estados Unidos al párrafo 5 del artículo 21 del ESD - Informe del Grupo Especial",2008-05-19 00:00:00.000000,,354,392,396,Complete,WT,Public,Short title: EC - Bananas III (Article 21.5 - US) -- I. Introduction -- II. Factual Aspects -- III. Parties' Requests for Findings and Recommendations -- IV. Arguments of the Parties -- V. Arguments of the Third Parties -- VI. Interim Review -- VII. Findings -- VIII. Conclusions,DS27,Panel report,First Compliance Phase,bananas,https://docs.wto.org/dol2fe/Pages/FE_Search/ExportFile.aspx?Id=84933&filename=Q/WT/DS/27RWUSA-00.pdf
84933,08-2182,WT/DS27/RW/USA,,"European Communities - Regime for the Importation, Sale and Distribution of Bananas - Recourse to Article 21.5 of the DSU by the United States - Report of the Panel","Communautés européennes - Régime applicable à l'importation, à la vente et à la distribution des bananes - Recours des États-Unis à l'article 21:5 du Mémorandum d'accord sur le règlement des différends - Rapport du Groupe spécial","Comunidades Europeas - Régimen para la importación, venta y distribución de bananos - Recurso de los Estados Unidos al párrafo 5 del artículo 21 del ESD - Informe del Grupo Especial",2008-05-19 00:00:00.000000,,354,392,396,Complete,WT,Public,Short title: EC - Bananas III (Article 21.5 - US) -- I. Introduction -- II. Factual Aspects -- III. Parties' Requests for Findings and Recommendations -- IV. Arguments of the Parties -- V. Arguments of the Third Parties -- VI. Interim Review -- VII. Findings -- VIII. Conclusions,DS27,Panel report,First Compliance Phase,bananas,https://docs.wto.org/dol2fe/Pages/FE_Search/ExportFile.aspx?Id=84933&filename=Q/WT/DS/27RWUSA-01.pdf
